,id,name,rating_kp,rating_imdb,votes_kp,votes_imdb,year,genre,director,director_id,countries
87,460286,Икона сезона,4.405,4.7,978,39,2013,"драма, комедия","Сергей Швыдкой, Фуад Ибрагимбеков","269702, 231565",Россия
88,41420,Винт,3.825,4.0,433,20,1993,боевик,Александр Казаков,269825,Россия
89,1111661,Сказки рублевского леса,5.316,0.0,729,0,2017,мелодрама,Егор Юзбашев,1557603,"Россия, Беларусь"
90,1044740,Я — Гагарин,6.793,0.0,198,0,2017,документальный,Ольга Дарфи,1644521,Россия
91,1272294,Русский рейд,6.74,5.4,36825,933,2019,"боевик, криминал",Денис Крючков,1801373,Россия
92,655780,Феномен,1.986,0.0,413,0,2005,"комедия, приключения, фэнтези",Михаил Кокшенов,269563,Россия
93,453096,Клоуны,6.23,0.0,261,0,2008,"мелодрама, приключения","Александр Даруга, Александр Богданенко","1642788, 1642790",Россия
94,839762,21 день,7.335,0.0,145,0,2014,"драма, документальный",Тамара Дондурей,3659117,Россия
95,660749,Двое,5.757,0.0,891,0,2011,"криминал, детектив",Виктор Татарский,607780,Россия
96,412367,Вход через окно,6.239,5.3,358,17,2002,комедия,Геральд Бежанов,284913,Россия
97,574141,Кэскил,7.615,0.0,259,0,2007,комедия,"Константин Барашков, Дмитрий Шадрин, Алексей Егоров","2339440, 2339446, 2339447",Россия
98,390530,Моя мама — невеста,6.237,6.4,1903,34,2004,комедия,Наталья Родионова,701306,Россия
99,1049376,Салют-7. История одного подвига,7.348,0.0,677,0,2017,документальный,Софья Ушомирская,4758335,Россия
0,669371,Соло на саксофоне,6.422,0.0,1464,0,2012,драма,Александр Кириенко,915805,Россия
1,1115422,Война снайпера,7.0,3.5,1354,8143,2018,"документальный, военный",Ольга Шехтер,5039948,"США, Украина, Россия"
2,41558,Несут меня кони,6.175,6.8,638,37,1996,мелодрама,Владимир Мотыль,266147,Россия
3,916121,Эликсир,4.798,4.1,262,35,2015,"фэнтези, драма, комедия",Даниил Зинченко,256883,Россия
4,223836,Национальная бомба,6.753,7.8,189,75,2004,комедия,Вагиф Мустафаев,287002,"Азербайджан, Россия"
5,374715,Обитаемый остров: Схватка,4.142,5.0,43954,2898,2009,"фантастика, боевик",Фёдор Бондарчук,231517,Россия
6,1387175,Заповедная Арктика. Путевые заметки из Кандалакшского заповедника,7.719,0.0,660,0,2019,документальный,Александра Ретунская,6107551,Россия
7,41479,Байрон,4.329,5.4,133,138,1992,"драма, биография",Никос Кундурос,284121,"Греция, Россия"
8,40903,Перекресток,7.16,6.2,12862,315,1998,"мелодрама, комедия",Дмитрий Астрахан,236566,"Россия, Беларусь"
9,1387174,Ненецкий заповедник. Дневник поморской путешественницы,7.378,0.0,771,0,2019,документальный,Александра Ретунская,6107551,Россия
10,1008383,Craft Film,7.806,0.0,235,0,2016,документальный,Максим Виноградов,4547298,Россия
11,1117970,Царь-птица,7.195,7.3,714,56,2018,драма,Эдуард Новиков,3699852,Россия
12,673653,Праздник взаперти,5.631,5.4,2320,52,2012,комедия,Сергей Ткачев,1037212,Россия
13,701526,Залётчики,1.415,1.2,13771,199,2014,комедия,Кирилл Кузин,1470335,Россия
14,978221,Джокер,5.609,6.7,647,16,2016,"комедия, семейный",Александр Каурых,4400924,Россия
15,1320464,Зови меня Дрозд,6.079,0.0,576,0,2020,мелодрама,Павел Мирзоев,3480405,Россия
16,40784,"Я свободен, я ничей",5.905,5.7,617,30,1994,"драма, комедия",Валерий Пендраковский,238745,Россия
17,251967,Май,6.719,7.1,1972,101,2007,драма,"Марат Рафиков, Илья Рубинштейн","294466, 566941",Россия
18,1045076,Турецкое седло,5.759,5.7,1091,69,2017,драма,Юсуп Разыков,281003,Россия
19,402990,Нижняя Каледония,6.565,7.3,135,19,2006,драма,Юлия Колесник,1565947,Россия
20,838969,"Здрасьте, я ваш папа!",4.012,0.0,701,0,2013,комедия,Владимир Чубриков,693546,Россия
21,41433,Война окончена. Забудьте...,6.547,5.2,243,20,1997,драма,Валерий Харченко,257049,Россия
22,103414,Сволочи,6.701,6.0,178485,4032,2006,"боевик, драма, военный",Александр Атанесян,102450,Россия
23,471790,Выйти замуж за генерала,5.983,0.0,637,0,2008,комедия,Владимир Виноградов,1642321,Россия
24,917284,Афган,7.464,0.0,424,0,2015,документальный,Андрей Кондрашов,3028084,Россия
25,374713,Ничего личного,6.018,6.8,579,82,2007,драма,Лариса Садилова,224467,Россия
26,436272,Добрая подружка для всех,6.246,0.0,446,0,2008,"мелодрама, комедия",Егор Анашкин,1627840,Россия
27,268563,Червь,5.609,5.6,350,38,2006,"триллер, драма",Алексей Мурадов,231384,Россия
28,420316,Как найти идеал?,3.94,0.0,225,0,2008,"мелодрама, комедия",Вера Яковенко,1600284,Россия
29,418643,Смокинг по-рязански,5.587,0.0,290,0,2007,"мелодрама, комедия",Александр Кананович,1620622,Россия
30,41608,Механическая сюита,7.299,6.9,7852,254,2001,"драма, комедия, криминал, приключения",Дмитрий Месхиев,231493,Россия
31,411728,Райское яблочко,6.053,5.6,2197,34,1998,комедия,Роман Ершов,284756,Россия
32,277556,Невеста,7.635,6.4,8423,75,2006,"драма, мелодрама",Эльёр Ишмухамедов,293987,Россия
33,1045901,Перевал Дятлова. Конец истории,6.269,0.0,307,0,2016,документальный,Александр Абраменко,3353896,Россия
34,1103851,Квнщики,7.013,6.5,8178,102,2017,"драма, комедия",Илья Аксенов,3296690,Россия
35,471961,"История про Ричарда, Милорда и прекрасную Жар-птицу",5.204,0.0,117,0,1997,"комедия, криминал",Нино Ахвледиани,293839,Россия
36,447666,Обреченные на войну,6.08,6.0,557,26,2008,"драма, мелодрама, военный",Ольга Жулина,281249,Россия
37,40752,Трактористы 2,5.557,5.7,656,68,1992,комедия,"Игорь Алейников, Глеб Алейников","280857, 280856",Россия
